blockchain,block_date,block_time,tx_hash,token_category,safe_sender,receiver,receiver_type,receiver_contract_name,receiver_label_names,receiver_label_categories,receiver_label_models,receiver_ens,receiver_name,event_name,symbol,token_address,amount,amount_usd,vertical,protocol
ethereum,2023-10-05,2023-10-05 05:22:59.000 UTC,0xf0e186874ce6a6c65005ad871df8408ada7b8888261f3fe3c8cdabf96834b805,stablecoin,0xaa37ed0cc4d1318b24205020d155585568cb1ad0,0xf9aa10b32e457dad238a1830a31afddcfc3c101d,EOA,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,Transfer,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,5155.418486,5156.898091105481,unclassified transfer to EOA,unclassified transfer to EOA
ethereum,2024-01-30,2024-01-30 21:18:11.000 UTC,0x858e4d3247b96937614d3540f46ecfe24e9a5db0a869585232f7c59dff2ef77f,stablecoin,0xe899413e5849f21275be5ea080f587f9090b1c86,0x5e349eca2dc61abcd9dd99ce94d04136151a09ee,EOA,<nil>,<nil>,<nil>,<nil>,lindajxie.eth,lindajxie.eth,Transfer,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,100,100.03880000000001,unclassified transfer to EOA,unclassified transfer to EOA
ethereum,2024-02-28,2024-02-28 12:42:47.000 UTC,0xb2053f0b25c5eaa17e7339a55cecbc266a5be7bc7efd6b2148fb42e1431f4ac2,stablecoin,0x237dee529a47750becdfa8a59a1d766e3e7b5f91,0xf236a37ec1c463e21cdfef962fd59a2167476ffe,EOA,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,Transfer,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,20000,20009.62,unclassified transfer to EOA,unclassified transfer to EOA
ethereum,2024-07-01,2024-07-01 19:17:59.000 UTC,0x058fcc09793dfff3835dfe3fb0442b6f28cfff5c9214eb1de50a98bee9d6bd98,stablecoin,0xb0992beef5a61af6da46b6e53e605b0daecfef24,0x655f15791accc77aae2406aa0e8462eecfe97fd2,EOA,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,Transfer,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,901.33,901.7419078099999,unclassified transfer to EOA,unclassified transfer to EOA
ethereum,2024-02-19,2024-02-19 02:42:11.000 UTC,0xbc1ba88f35564643330612e9c5433f1e852c1773c108750235123bd2d138eb7b,stablecoin,0xa25fb7c42e7057b742903b4e1ad19188362b8638,0x78cdf507f0570622cb68b84b78e290690defaa6d,EOA,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,Transfer,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,9.507079,9.510891338679,unclassified transfer to EOA,unclassified transfer to EOA
ethereum,2024-02-23,2024-02-23 12:23:23.000 UTC,0x2525710987ee36fcac84c77636cf3f7907970084d01af277f51578eb3a50bddd,stablecoin,0x1684b454492ab9013c06443e258f70aaba26bdf1,0xb1d229741797536194f54892cb3aa7545fbf1450,EOA,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,Transfer,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,15000,15009.660000000002,unclassified transfer to EOA,unclassified transfer to EOA
ethereum,2024-04-30,2024-04-30 02:51:23.000 UTC,0xe826dddcf59e946ff9e7d9eb4a835e5e514f1cf92371f7854163bd73299104b6,stablecoin,0xca310b058a3176a3f3c31ab4fb3041f80b28b509,0x57f999ac047a1f62e1c21a73c629eef2f3498ab2,EOA,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,Transfer,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1240,1240.70556,unclassified transfer to EOA,unclassified transfer to EOA
ethereum,2023-01-17,2023-01-17 19:19:35.000 UTC,0x1dee602fecd2b78a43eb6339f52dd063baa68c9f3baecb1dd03bd69f34130313,stablecoin,0x5ab84cf2e7d9bd72c6c6784ee4c745f85a6ef259,0x73dca297dae3183e21281bee0be8d5c60ca22c6f,EOA,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,Transfer,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,100,99.88850000000001,unclassified transfer to EOA,unclassified transfer to EOA
ethereum,2024-06-03,2024-06-03 09:28:59.000 UTC,0xf82d1fd3f713e51e92a58c8ef26e7263eaff7762d0502a128de46c1f82621818,native,0x5e0253a966ea335c28ef508db0c0794afb8c0cb2,0x4b130cf93a9a6494ad685c6f94d207ae86032936,EOA,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,ETH,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0.28642,1092.2970404,unclassified transfer to EOA,unclassified transfer to EOA
ethereum,2024-01-16,2024-01-16 20:17:47.000 UTC,0x398ade2a2dcbbd1e34840dec0558e33a034452abe29173c98013a468b3e80da6,native,0xb38a1911b71f56ed81e2b9f7215d2413e7b05b43,0x2b67a2765dcc93077d2cd0c07cab1803142b7ea4,EOA,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,ETH,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0.77,1986.5846000000001,unclassified transfer to EOA,unclassified transfer to EOA
